Name,Address,Country,Age,Status,Date,Gender,Q1,Q2,Q3,Q4,Q5
Daisy Cantu,"Unnamed Road, Enniskillen BT92, UK",IRL,41,Excellent,01/15/2019,F,3,5,3,1,5
Mireya Kent,"1-37 Kylemore Dr, Omagh BT79 7LL, UK",US,58,Poor,01/15/2018,F,3,5,2,2,5
Alaina Luna,"N Edward St, Derry BT48 7EP, UK",IRL,84,Excellent,01/15/2018,M,1,3,1,1,2
Edgar Black,"5 Glenside Dr, Belfast BT14, UK",IRL,85,Excellent,01/15/2018,M,2,5,1,4,2
Troy Sullivan,"32 Laharna Ave, Larne BT40 1NG, UK",US,32,Excellent,01/15/2019,M,2,3,4,3,2
Keenan Gutierrez,"17 Blackrock Ln, Newtownabbey BT36 4NQ, UK",IRL,31,Excellent,01/15/2018,F,5,1,2,4,1
Lennon Wade,"5 Stonebridge Dr, Conlig, Newtownards BT23 7QS, UK",US,57,Improved,01/15/2019,M,2,2,1,3,2
Edith Molina,"14 Wolfhill Ave S, Belfast BT14 8NT, UK",US,85,Excellent,01/15/2019,F,1,1,2,2,1
Mayra Austin,"21 Church Cres, Bangor BT20 3EF, UK",US,79,Excellent,01/15/2018,F,1,3,4,1,2
Kali Faulkner,"6 Woodview Terrace, Caledon BT68 4XQ, UK",US,62,Poor,01/15/2018,F,5,2,2,1,3
Cohen Hall,"7 Holly Manor, Newtownabbey BT36 7WQ, UK",US,27,Improved,01/15/2018,F,2,1,5,4,3
Colin Hobbs,"82 The Quay, Dundrum, Newcastle BT33 0UJ, UK",US,44,Improved,01/15/2018,M,4,2,2,2,5
Lillianna Neal,"26 Henrietta St, Belfast BT2 8LW, UK",US,69,Excellent,01/15/2018,M,1,4,4,1,2
Liam Wilkins,"30-32 Crooked Stone Rd, Antrim BT41 4SP, UK",IRL,63,Excellent,01/15/2018,M,1,4,2,4,3
Jimmy Page,"68 Newtownards Rd, Bangor BT20 4DR, UK",US,54,Poor,01/15/2018,M,2,1,4,5,1
Nadia Edwards,"238 Derrylee Rd, Dungannon BT71 6NY, UK",US,36,Improved,01/15/2018,M,3,4,2,2,4
Niko Hodge,"18 Glenhead Rd, Ballymena BT42 4RE, UK",IRL,56,Poor,01/15/2018,M,3,4,3,3,5
Carson Guerra,"44 Listooder Rd, Crossgar, Downpatrick BT30 9JF, UK",IRL,66,Excellent,01/15/2019,F,3,1,5,2,4
Carlee Hickman,"1 Milltown Rd, Derrylin, Enniskillen BT92 9LF, UK",IRL,35,Poor,01/15/2018,F,1,3,4,4,4
Livia Carrillo,"16-24 Castlewellan Rd, Newry BT34 5UY, UK",US,70,Improved,01/15/2018,F,1,4,3,1,5
Alvin Owen,"8 Royal Oaks, Belfast BT8 6YX, UK",US,26,Excellent,01/15/2018,M,1,1,1,5,5
Ingrid Maynard,"1 Leroy St, Belfast BT14 8AU, UK",US,71,Poor,01/15/2018,M,3,4,5,3,4
Zaria Hopkins,"1 Carrickfern Cl, Greenisland, Carrickfergus BT38 8FR, UK",US,71,Poor,01/15/2018,M,1,1,2,3,3
Kaitlynn Hale,"3 Altan Dr, Dunmurry, Belfast BT17 0UD, UK",US,73,Improved,01/15/2018,F,1,3,2,4,4
Kaylen Juarez,"2-58 Seaview Cl, Ardglass, Downpatrick BT30 7SQ, UK",US,40,Improved,01/15/2018,M,5,4,1,1,5
Kendall Bridges,"2 Prospect Way, Lurgan, Craigavon BT66 6DY, UK",IRL,45,Excellent,01/15/2018,M,3,4,1,3,1
Averi Berg,"2-12 Lemons Rd, Newtownards BT22 1BY, UK",US,65,Poor,01/15/2019,F,3,1,1,5,1
Maddison Dickson,"3 Cumberland Gate, Dundonald, Belfast BT16 2GE, UK",IRL,79,Excellent,01/15/2018,F,3,4,3,3,4
Victor Glenn,"11 Cahore Rd, Draperstown, Magherafelt BT45 7AP, UK",US,36,Improved,01/15/2018,M,1,1,3,2,4
Cherish Long,"1 Marvista Ave, Ballyclare BT39 9JZ, UK",IRL,84,Improved,01/15/2018,M,4,5,3,5,3
Cristopher Rodriguez,"11 Exchange St, Belfast BT1 2LS, UK",US,57,Improved,01/15/2018,F,4,3,4,3,4
Jay Fuller,"25 Highfield Rd, Magherafelt BT45 5BN, UK",IRL,72,Excellent,01/15/2019,M,4,2,4,1,4
Tiana Munoz,"103 Fintona Rd, Clogher BT76 0XA, UK",US,65,Excellent,01/15/2018,F,1,3,1,3,3
Roderick Wood,"15 Church St Ct, Newtownards BT23 4BZ, UK",US,74,Poor,01/15/2018,M,3,1,4,3,1
India Mcintyre,"106 Princetown Rd, Bangor BT20 3TG, UK",US,56,Excellent,01/15/2018,F,2,2,1,4,1
Donavan Hardin,"11-25 The Cairn Rd, Collone, Armagh BT60 2BR, UK",US,27,Improved,01/15/2018,M,1,4,5,1,5
Bryson Mooney,"10 Avonmore Park, Lisburn BT28 1NA, UK",US,41,Improved,01/15/2019,F,1,2,5,5,2
Aspen Allen,"19 Clooney Terrace, Derry BT47 6AW, UK",IRL,56,Improved,01/15/2019,F,2,2,4,3,2
Colt Ortega,"179-255 Carnteel Rd, Dungannon BT70, UK",US,38,Excellent,01/15/2018,M,3,5,3,3,1
Reilly Cherry,"12 Town Brae, Glenarm, Ballymena BT44 0EE, UK",US,71,Improved,01/15/2018,F,5,2,2,3,1
Rebekah Calderon,"119 Duncastle Rd, New Buildings, Derry BT47 2SN, UK",IRL,62,Excellent,01/15/2018,F,3,3,1,5,4
